Mes,W_potential_Norte,adoption_rate_Norte,adopters_Norte,W_potential_Centro,adoption_rate_Centro,adopters_Centro,W_potential_Sur,adoption_rate_Sur,adopters_Sur
126,13893.9755593795,330.66691530159244,33846.683522886015,23903.25684281884,677.6755501299452,130824.11083647887,7843.681836893922,205.67530452193031,28077.882257811183
127,13620.70195471169,326.9125504926898,34175.47812787744,23332.050967902473,664.4282042058378,131495.14834380915,7661.047349004347,202.21695193206077,28281.828120200465
128,13351.233778345699,323.09837650538776,34500.48854767155,22774.011376354447,651.3449552165819,132153.02155023196,7481.8704816443405,198.76150561062562,28482.31705769345
129,13085.674795774834,319.2310211559235,34821.657558091785,22229.059064101686,638.4339851845735,132797.89676593273,7306.165297727224,195.31291557439002,28679.35361702318
130,12824.075908132858,315.3162309731428,35138.93451803886,21697.020332139222,625.700795115408,133429.94812462438,7133.923496054785,191.87459229228367,28872.946192346688
131,12566.431327079074,311.3587200308987,35452.275426744614,21177.619770066533,613.1479415709459,134049.3575276223,6965.112944005673,188.4493443741055,29063.106985073326
132,12312.811384781839,307.3645521014174,35761.640361447266,20670.73170719723,600.7812851597594,134656.30767147295,6799.731137009902,185.04052844862397,29249.85065516759
133,12063.290248532974,303.33987891133955,36066.994632048794,20176.243904992472,588.6066852827146,135250.98484102343,6637.77630359381,181.65144162744278,29433.194757415775
134,11817.851963602006,299.2891437237278,36368.310496246886,19693.880192285622,576.6254836361318,135833.5831331858,6479.209774403636,178.2844723863736,29613.160467300877
135,11576.48392163543,295.2167668854862,36665.56529660813,19223.377240445152,564.8389165055155,136404.29962797777,6323.993575154926,174.94191375842942,29789.771638480834
136,11339.275434516201,291.1290847029297,36958.73930901521,18764.67113406374,553.2529792899705,136963.32880537873,6172.130153258027,171.62688180051637,29963.053653757586
137,11106.222545970188,287.03059440490983,37247.81942401655,18317.52863787408,541.8689845407174,137510.87181398112,6023.584088381342,168.34154063808833,30133.0350944728
138,10877.291706687041,282.9251128146216,37532.797814583755,17881.6675922142,530.68658776497,138047.13309496702,5878.307721216237,165.08766194676625,30299.74705450117
139,10652.534871085001,278.8180875770367,37813.66939960058,17456.974488086937,519.7095129758869,138572.3140860018,5736.287472701735,161.86771302649527,30463.221855250384
140,10431.944387867743,274.7137039845213,38090.4346061904,17043.230366523236,508.93840913613286,139086.62013208936,5597.485666567194,158.68350209324475,30623.49427147011
141,10215.483312309287,270.61544221656106,38363.09866199417,16640.168087847964,498.3723067226963,139590.25878495382,5461.852748669926,155.53644867931575,30780.60115640205
142,10003.177137175442,266.5279824630643,38631.669458544726,16247.645648104024,488.01325730998076,140083.4346577801,5329.364205253213,152.4284739631438,30934.5803692978
143,9795.01771491842,262.4552236105081,38896.15936371059,15865.46465674233,477.8615259818566,140566.35400862925,5199.982064714405,149.36108189940822,31085.4715590284
144,9590.9516572803,258.39999077349995,39156.58538884985,15493.348383091548,467.9149599994723,141039.22523343097,5073.65027582306,146.3352323318564,31233.316211540936
145,9390.975729194173,254.3660694874555,39412.966924990214,15131.121874026692,458.17387064108,141502.25355625496,4950.33307362898,143.35228488823478,31378.156544358455
146,9195.100597388717,250.35746348063478,39665.32628849074,14778.6434102388,448.63923131606674,141955.6425523145,4830.000492698918,140.41365652103022,31520.035707838702
147,9003.27173970926,246.37664399531604,39913.69033944034,14435.655051568376,439.30857781605374,142399.59818485114,4712.596657023119,137.52002351178757,31658.998499387926
148,8815.426268424493,242.42575888820824,40158.08912135946,14101.889859676981,430.17891586023114,142834.32568818418,4598.062616469735,134.67188350813993,31795.090717197847
