Mes,W_potential_Norte,adoption_rate_Norte,adopters_Norte,willing_Norte,available_market_Norte,Pct_adoption_Norte,initial_adopters0_Norte,initial_W0_Norte,W_potential_Centro,adoption_rate_Centro,adopters_Centro,willing_Centro,available_market_Centro,Pct_adoption_Centro,initial_adopters0_Centro,initial_W0_Centro,W_potential_Sur,adoption_rate_Sur,adopters_Sur,willing_Sur,available_market_Sur,Pct_adoption_Sur,initial_adopters0_Sur,initial_W0_Sur,National_Available_Market,National_Adopters,National_Percentage_of_Adoption
140,49737.39170879083,1048.6719584676473,83791.51802117733,133683.56709742037,346243.4753375974,0.24200172418982963,1594.3939393939395,111726.38481686903,125421.7538066194,3157.40644388856,376707.3958324743,502452.6005649995,1778385.5357250287,0.21182549467761766,12069.818181818182,446802.3288629471,48417.3346284407,1054.7389841969498,89335.57356894291,137834.57337164044,909085.0973271189,0.09826975915852795,1751.3838383838383,125088.92140650666,3033714.108389745,549834.4874225946,0.18124136546091332
141,48847.041147336466,1041.4459142229002,84836.60879938134,133838.47364937633,346644.6868257882,0.2447365040446079,1594.3939393939395,111726.38481686903,122611.50759916882,3110.176922005088,379841.2125373512,502776.4115727606,1779531.6355001386,0.2134501039261359,12069.818181818182,446802.3288629471,47449.086069742196,1045.0863661794488,90385.51796825667,137916.330889803,909624.3273587282,0.0993657658988834,1751.3838383838383,125088.92140650666,3035800.649684655,555063.3393049892,0.18283919247551603
142,47964.219757399966,1033.845597354651,85874.28597602727,133993.52015489177,347046.26079687686,0.24744334020152067,1594.3939393939395,111726.38481686903,119848.75764080837,3062.676574753877,382927.662068717,503100.40496433905,1780678.3808062742,0.21504594327434412,12069.818181818182,446802.3288629471,46490.7103575238,1035.0626028146737,91425.62311117337,137998.13543598325,910163.867562662,0.10044962931345876,1751.3838383838383,125088.92140650666,3037888.509165813,560227.5711559176,0.18441347319548368
143,47089.4270811004,1025.8886171297838,86904.18154231887,134148.7067404106,347448.1975783562,0.25012126166727433,1594.3939393939395,111726.38481686903,117134.03775816671,3014.9712445829496,385966.4989284248,503424.58084246126,1781825.7720070267,0.21661292871169827,12069.818181818182,446802.3288629471,45542.64271446906,1024.6879065407863,92455.52645172125,138079.98703723235,910703.7181173358,0.10152097176329877,1751.3838383838383,125088.92140650666,3039977.6877027187,565326.2069224649,0.18596393296217786
144,46222.87661907021,1017.5892120582132,87925.94738220988,134304.03353249107,347850.49749801494,0.2527693592926704,1594.3939393939395,111726.38481686903,114467.22700065067,2967.113400430181,388957.54862934595,503748.939309911,1782973.80946619,0.2181510163325378,12069.818181818182,446802.3288629471,44605.14962450186,1013.9805504196007,93474.88703963776,138161.88572061696,911243.8792012674,0.1025794402279786,1751.3838383838383,125088.92140650666,3042068.186165472,570358.3830511936,0.1874903349126209
145,45364.79691284027,1008.9622259142432,88939.25122251504,134459.50065780574,348253.1608839378,0.25538677379630675,1594.3939393939395,111726.38481686903,111848.21560421279,2919.1547046530463,391900.6932375146,504073.4804695302,1784122.4935477634,0.21966019410371995,12069.818181818182,446802.3288629471,43678.495423571825,1002.9591848927307,94483.3831469838,138243.83151321943,911784.3509930776,0.10362470363093688,1751.3838383838383,125088.92140650666,3044160.005424779,575323.3276070134,0.18899247299148897
146,44515.76123748219,1000.0280563821716,89943.77181392527,134615.10824314156,348656.1880645059,0.257972681664507,1594.3939393939395,111726.38481686903,109277.63525359941,2871.161033915609,394795.8536821097,504398.2044242189,1785271.8246159526,0.22114047185337624,12069.818181818182,446802.3288629471,42763.12472773035,991.6457245536875,95480.70944973276,138325.82444213753,912325.1336714893,0.1046564496864048,1751.3838383838383,125088.92140650666,3046253.1463519474,580220.3349457678,0.1904701635320797
147,43676.0564646813,990.8034707719937,90939.20883423474,134770.85641540008,349059.57936839724,0.2605263233250435,1594.3939393939395,111726.38481686903,106755.47003952012,2823.184497808788,397643.0161950911,504723.11127693474,1786421.8030351668,0.22259189600098228,12069.818181818182,446802.3288629471,41859.313193975526,980.0598970428605,96466.58281163352,138407.86453448478,912866.227415329,0.10567439118080538,1751.3838383838383,125088.92140650666,3048347.609818893,585048.8078409594,0.1919232589998875
148,42845.67522212831,981.3010271620893,91925.28325522882,134926.74530159752,349463.3351245866,0.26304700383648744,1594.3939393939395,111726.38481686903,104281.04033597921,2775.262192393786,400442.2320411395,505048.2011306933,1787572.4291700204,0.2240145492885382,12069.818181818182,446802.3288629471,40967.16319670236,968.2188758653448,97440.74247583876,138489.95181739013,913407.6324035254,0.10667826610933263,1751.3838383838383,125088.92140650666,3050443.3966981326,589808.2577722071,0.19335164796390866
149,42025.063637719955,971.540514085223,92901.72572327875,135082.7750288648,349867.4556623459,0.26553405931227114,1594.3939393939395,111726.38481686903,101854.6549428957,2727.450635601897,403193.57997836213,505373.4740885687,1788723.7033853347,0.22540852967693042,12069.818181818182,446802.3288629471,40087.017749777355,956.1439981902708,98402.94311681886,138572.08631799824,913949.3488151105,0.10766782999998123,1751.3838383838383,125088.92140650666,3052540.507862791,594498.2488184598,0.1947552365929756
